Measles,Date,Chickenpox,Date,Mumps,Date,Rubella,Date
39,1940.417,221,1950.417,11,1939.417,79,1950.417
27,1940.5,122,1950.5,5,1939.5,37,1950.5
50,1940.583,88,1950.583,13,1939.583,71,1950.583
38,1940.667,99,1950.667,10,1939.667,99,1950.667
72,1940.75,170,1950.75,18,1939.75,102,1950.75
118,1940.833,220,1950.833,13,1939.833,79,1950.833
225,1940.917,288,1950.917,3,1939.917,54,1950.917
601,1941,607,1951,25,1940,121,1951
972,1941.083,699,1951.083,24,1940.083,121,1951.083
1010,1941.167,778,1951.167,13,1940.167,107,1951.167
1566,1941.25,782,1951.25,15,1940.25,121,1951.25
2190,1941.333,465,1951.333,16,1940.333,85,1951.333
1417,1941.417,270,1951.417,0.00E+00,1940.417,43,1951.417
442,1941.5,138,1951.5,8,1940.5,59,1951.5
144,1941.583,115,1951.583,3,1940.583,83,1951.583
111,1941.667,128,1951.667,7,1940.667,117,1951.667
71,1941.75,118,1951.75,6,1940.75,78,1951.75
101,1941.833,144,1951.833,9,1940.833,77,1951.833
75,1941.917,179,1951.917,6,1940.917,78,1951.917
174,1942,322,1952,3,1941,85,1952
145,1942.083,369,1952.083,7,1941.083,116,1952.083
151,1942.167,345,1952.167,18,1941.167,146,1952.167
232,1942.25,288,1952.25,12,1941.25,120,1952.25
271,1942.333,238,1952.333,12,1941.333,96,1952.333
293,1942.417,174,1952.417,18,1941.417,73,1952.417
197,1942.5,111,1952.5,13,1941.5,52,1952.5
132,1942.583,101,1952.583,18,1941.583,66,1952.583
222,1942.667,81,1952.667,92,1941.667,33,1952.667
448,1942.75,117,1952.75,478,1941.75,71,1952.75
1184,1942.833,260,1952.833,1906,1941.833,62,1952.833
1055,1942.917,365,1952.917,3413,1941.917,50,1952.917
1085,1943,553,1953,3697,1942,218,1953
570,1943.083,451,1953.083,2037,1942.083,258,1953.083
438,1943.167,325,1953.167,993,1942.167,454,1953.167
255,1943.25,265,1953.25,355,1942.25,521,1953.25
328,1943.333,228,1953.333,152,1942.333,518,1953.333
547,1943.417,164,1953.417,100,1942.417,276,1953.417
188,1943.5,86,1953.5,32,1942.5,76,1953.5
119,1943.583,94,1953.583,39,1942.583,60,1953.583
126,1943.667,124,1953.667,26,1942.667,54,1953.667
177,1943.75,157,1953.75,29,1942.75,72,1953.75
280,1943.833,198,1953.833,15,1942.833,56,1953.833
355,1943.917,199,1953.917,17,1942.917,71,1953.917
485,1944,412,1954,22,1943,173,1954
538,1944.083,502,1954.083,22,1943.083,266,1954.083
617,1944.167,537,1954.167,12,1943.167,557,1954.167
861,1944.25,401,1954.25,21,1943.25,765,1954.25
1251,1944.333,313,1954.333,16,1943.333,862,1954.333
909,1944.417,171,1954.417,23,1943.417,426,1954.417
403,1944.5,99,1954.5,7,1943.5,126,1954.5
208,1944.583,76,1954.583,12,1943.583,106,1954.583
197,1944.667,99,1954.667,10,1943.667,93,1954.667
277,1944.75,97,1954.75,11,1943.75,110,1954.75
369,1944.833,101,1954.833,18,1943.833,174,1954.833
398,1944.917,176,1954.917,20,1943.917,264,1954.917
562,1945,260,1955,14,1944,586,1955
509,1945.083,274,1955.083,20,1944.083,884,1955.083
690,1945.167,377,1955.167,17,1944.167,1435,1955.167
653,1945.25,307,1955.25,18,1944.25,1005,1955.25
833,1945.333,209,1955.333,23,1944.333,667,1955.333
669,1945.417,147,1955.417,13,1944.417,283,1955.417
320,1945.5,104,1955.5,7,1944.5,111,1955.5
173,1945.583,74,1955.583,15,1944.583,47,1955.583
77,1945.667,94,1955.667,23,1944.667,55,1955.667
96,1945.75,114,1955.75,13,1944.75,43,1955.75
168,1945.833,175,1955.833,17,1944.833,68,1955.833
242,1945.917,309,1955.917,11,1944.917,62,1955.917
595,1946,433,1956,20,1945,97,1956
585,1946.083,618,1956.083,29,1945.083,110,1956.083
930,1946.167,435,1956.167,29,1945.167,122,1956.167
989,1946.25,436,1956.25,21,1945.25,93,1956.25
789,1946.333,370,1956.333,7,1945.333,110,1956.333
724,1946.417,133,1956.417,15,1945.417,62,1956.417
380,1946.5,66,1956.5,66,1945.5,46,1956.5
223,1946.583,69,1956.583,5,1945.583,62,1956.583
154,1946.667,40,1956.667,30,1945.667,114,1956.667
178,1946.75,107,1956.75,23,1945.75,145,1956.75
153,1946.833,122,1956.833,16,1945.833,86,1956.833
187,1946.917,186,1956.917,20,1945.917,83,1956.917
852,1947,403,1957,23,1946,140,1957
1094,1947.083,405,1957.083,33,1946.083,197,1957.083
1313,1947.167,349,1957.167,43,1946.167,215,1957.167
964,1947.25,238,1957.25,83,1946.25,137,1957.25
927,1947.333,295,1957.333,117,1946.333,155,1957.333
416,1947.417,142,1957.417,151,1946.417,87,1957.417
224,1947.5,72,1957.5,92,1946.5,66,1957.5
145,1947.583,75,1957.583,135,1946.583,41,1957.583
115,1947.667,67,1957.667,381,1946.667,89,1957.667
138,1947.75,144,1957.75,1026,1946.75,83,1957.75
229,1947.833,61,1957.833,1981,1946.833,44,1957.833
256,1947.917,85,1957.917,2353,1946.917,42,1957.917
478,1948,152,1958,2063,1947,92,1958
427,1948.083,213,1958.083,979,1947.083,75,1958.083
722,1948.167,227,1958.167,666,1947.167,79,1958.167
689,1948.25,239,1958.25,256,1947.25,88,1958.25
742,1948.333,184,1958.333,116,1947.333,82,1958.333
510,1948.417,171,1958.417,35,1947.417,57,1958.417
208,1948.5,96,1958.5,17,1947.5,51,1958.5
109,1948.583,69,1958.583,28,1947.583,41,1958.583
141,1948.667,56,1958.667,34,1947.667,27,1958.667
278,1948.75,130,1958.75,32,1947.75,64,1958.75
373,1948.833,139,1958.833,69,1947.833,47,1958.833
752,1948.917,243,1958.917,47,1947.917,51,1958.917
1718,1949,351,1959,64,1948,78,1959
2044,1949.083,334,1959.083,64,1948.083,71,1959.083
1819,1949.167,282,1959.167,47,1948.167,66,1959.167
1560,1949.25,350,1959.25,37,1948.25,107,1959.25
1088,1949.333,261,1959.333,52,1948.333,94,1959.333
560,1949.417,203,1959.417,26,1948.417,67,1959.417
248,1949.5,128,1959.5,24,1948.5,52,1959.5
188,1949.583,74,1959.583,36,1948.583,34,1959.583
134,1949.667,131,1959.667,54,1948.667,49,1959.667
168,1949.75,215,1959.75,66,1948.75,71,1959.75
206,1949.833,274,1959.833,76,1948.833,103,1959.833
180,1949.917,329,1959.917,59,1948.917,128,1959.917
369,1950,325,1960,129,1949,118,1960
454,1950.083,366,1960.083,110,1949.083,155,1960.083
568,1950.167,292,1960.167,150,1949.167,261,1960.167
539,1950.25,156,1960.25,136,1949.25,241,1960.25
547,1950.333,156,1960.333,149,1949.333,331,1960.333
539,1950.417,105,1960.417,181,1949.417,283,1960.417
245,1950.5,51,1960.5,83,1949.5,81,1960.5
184,1950.583,106,1960.583,65,1949.583,68,1960.583
187,1950.667,97,1960.667,129,1949.667,58,1960.667
264,1950.75,106,1960.75,214,1949.75,55,1960.75
399,1950.833,151,1960.833,372,1949.833,75,1960.833
861,1950.917,108,1960.917,509,1949.917,47,1960.917
1928,1951,163,1961,781,1950,60,1961
2330,1951.083,150,1961.083,759,1950.083,49,1961.083
2581,1951.167,235,1961.167,899,1950.167,97,1961.167
1546,1951.25,125,1961.25,605,1950.25,66,1961.25
857,1951.333,104,1961.333,401,1950.333,82,1961.333
384,1951.417,83,1961.417,173,1950.417,51,1961.417
165,1951.5,38,1961.5,73,1950.5,28,1961.5
102,1951.583,75,1961.583,65,1950.583,43,1961.583
94,1951.667,69,1961.667,89,1950.667,50,1961.667
83,1951.75,92,1961.75,107,1950.75,33,1961.75
65,1951.833,192,1961.833,88,1950.833,56,1961.833
59,1951.917,200,1961.917,86,1950.917,33,1961.917
151,1952,397,1962,174,1951,63,1962
118,1952.083,244,1962.083,134,1951.083,49,1962.083
113,1952.167,230,1962.167,162,1951.167,68,1962.167
170,1952.25,265,1962.25,156,1951.25,77,1962.25
208,1952.333,224,1962.333,146,1951.333,150,1962.333
173,1952.417,123,1962.417,81,1951.417,74,1962.417
111,1952.5,78,1962.5,46,1951.5,53,1962.5
79,1952.583,103,1962.583,47,1951.583,62,1962.583
144,1952.667,79,1962.667,54,1951.667,71,1962.667
226,1952.75,121,1962.75,69,1951.75,123,1962.75
510,1952.833,140,1962.833,81,1951.833,100,1962.833
887,1952.917,119,1962.917,83,1951.917,80,1962.917
1739,1953,197,1963,142,1952,120,1963
1895,1953.083,172,1963.083,185,1952.083,87,1963.083
2301,1953.167,193,1963.167,262,1952.167,100,1963.167
1731,1953.25,139,1963.25,249,1952.25,97,1963.25
1056,1953.333,210,1963.333,203,1952.333,116,1963.333
368,1953.417,103,1963.417,178,1952.417,76,1963.417
111,1953.5,97,1963.5,97,1952.5,61,1963.5
78,1953.583,72,1963.583,92,1952.583,37,1963.583
42,1953.667,90,1963.667,116,1952.667,69,1963.667
50,1953.75,129,1963.75,174,1952.75,70,1963.75
73,1953.833,154,1963.833,332,1952.833,67,1963.833
